iter	Logloss
0	0.621175595
1	0.5687762145
2	0.5249894886
3	0.491182554
4	0.4660967406
5	0.4463404416
6	0.4299738419
7	0.4169100619
8	0.4065666394
9	0.3987993419
10	0.3918736942
11	0.3857234755
12	0.3806025234
13	0.3762930198
14	0.3728796175
15	0.3695755979
16	0.3670376558
17	0.3644039959
18	0.3627293685
19	0.3614159007
20	0.3600024742
21	0.3586187256
22	0.3572733415
23	0.356246258
24	0.355011638
25	0.3539499663
26	0.3527602496
27	0.3518161919
28	0.3509306876
29	0.3500862626
30	0.3493163545
31	0.348736808
32	0.3480640703
33	0.3474265719
34	0.3472335272
35	0.3466206592
36	0.3459504505
37	0.3454532398
38	0.3448685471
39	0.3443254552
40	0.3438134722
41	0.3434497431
42	0.3433043343
43	0.3427601479
44	0.3422611817
45	0.3417751785
46	0.3413302419
47	0.340869176
48	0.3404287432
49	0.3400530935
50	0.3396703947
51	0.3392580846
52	0.3389387951
53	0.3387215312
54	0.338369521
55	0.3380308007
56	0.3379691629
57	0.3377660886
58	0.3373647293
59	0.3370158964
60	0.3367165009
61	0.3365463622
62	0.3362812822
63	0.3359105387
64	0.3356488748
65	0.335376128
66	0.335086304
67	0.3350322865
68	0.3348229455
69	0.3346628406
70	0.334450573
71	0.3342594359
72	0.3340650362
73	0.3338068201
74	0.3334419606
75	0.3332466875
76	0.3330822037
77	0.3328010908
78	0.3324664537
79	0.3322316309
80	0.3321588123
81	0.3318520318
82	0.3315590355
83	0.3313512211
84	0.3311944382
85	0.3310487287
86	0.3308306357
87	0.3306217219
88	0.3303498546
89	0.3301368072
90	0.3298506264
91	0.3295091078
92	0.3293623656
93	0.3292017222
94	0.3289603848
95	0.3287527216
96	0.3284918004
97	0.3284217699
98	0.3280719789
99	0.3278714355
100	0.3276375807
101	0.3273916128
102	0.3271920174
103	0.3271621358
104	0.3269290184
105	0.3266991743
106	0.3265195366
107	0.3262264098
108	0.3260770664
109	0.3257976388
110	0.3255561192
111	0.3252735515
112	0.3250511242
113	0.3248376964
114	0.3245594303
115	0.3244856614
116	0.3243558903
117	0.3241368977
118	0.3239435752
119	0.3237941277
120	0.3234874298
121	0.32325722
122	0.3230446585
123	0.3227900826
124	0.3225873217
125	0.3222928434
126	0.3220858955
127	0.3218243982
128	0.3216286832
129	0.3214567177
130	0.321314737
131	0.3210240471
132	0.3208521395
133	0.3206431275
134	0.320461756
135	0.3201958592
136	0.3200636457
137	0.3199180475
138	0.319776727
139	0.3195778617
140	0.3193395232
141	0.3191504088
142	0.3189810315
143	0.3187825174
144	0.318540769
145	0.3184123249
146	0.3181468878
147	0.3179520788
148	0.3176887868
149	0.3176186008
150	0.3174382159
151	0.3172800822
152	0.3171869471
153	0.3170746442
154	0.3169340302
155	0.316539465
156	0.3163623467
157	0.3161952079
158	0.3159375684
159	0.3156567729
160	0.3154144543
161	0.3152251936
162	0.3150104299
163	0.3148735934
164	0.3147088325
165	0.3144663343
166	0.3142777194
167	0.314046954
168	0.3138591559
169	0.3137364281
170	0.3136191948
171	0.3133671774
172	0.3132025587
173	0.3130557631
174	0.3128599703
175	0.312732034
176	0.3124530489
177	0.3122762143
178	0.3120598141
179	0.3119318677
180	0.3118114411
181	0.3116774042
182	0.3115282902
183	0.3112777052
184	0.3110893839
185	0.310920256
186	0.3106913869
187	0.3106351152
188	0.310510124
189	0.3102865364
190	0.3101375352
191	0.3100368191
192	0.309801538
193	0.3095474555
194	0.3094114046
195	0.3091938829
196	0.3089123747
197	0.308706881
198	0.3084609882
199	0.3082613642
200	0.3081093698
201	0.308070386
202	0.3079258512
203	0.3077259985
204	0.3075094689
205	0.3073093187
206	0.3072182825
207	0.3070908568
208	0.3068916942
209	0.3067430559
210	0.306641809
211	0.3064972248
212	0.3062615841
213	0.3061120739
214	0.3058447104
215	0.3057113295
216	0.3056103971
217	0.3053957295
218	0.3052163002
219	0.3050505486
220	0.3048303023
221	0.3047233633
222	0.304593201
223	0.3044277118
224	0.304237075
225	0.3041096399
226	0.3039192235
227	0.3036933759
228	0.3035336928
229	0.3033912809
230	0.303300476
231	0.3031296725
232	0.3028911255
233	0.3027465899
234	0.3025880428
235	0.3023594505
236	0.3022331491
237	0.3020830163
238	0.3019438756
239	0.3017250786
240	0.3016166706
241	0.3014695976
242	0.3012088843
243	0.300942269
244	0.3007983383
245	0.3006846776
246	0.3006121552
247	0.3004218908
248	0.3002424932
249	0.3001055008
250	0.2998951404
251	0.2997518316
252	0.2995711682
253	0.2994925364
254	0.2993450389
255	0.2991962613
256	0.2990173337
257	0.2988435795
258	0.2985994639
259	0.2984137326
260	0.2982826511
261	0.2981568954
262	0.2980107397
263	0.2978201757
264	0.2976823197
265	0.2974933571
266	0.2972819958
267	0.2972513471
268	0.2970144984
269	0.2968875709
270	0.2967757412
271	0.2965203747
272	0.2963268484
273	0.2962280362
274	0.2960846689
275	0.295914457
276	0.2958256981
277	0.2957518931
278	0.2956824177
279	0.2955479722
280	0.2953421851
281	0.2951586654
282	0.2950308165
283	0.2947609127
284	0.2945407344
285	0.2944461803
286	0.2942416823
287	0.2940686268
288	0.2939096288
289	0.2937921944
290	0.2937212918
291	0.2935817161
292	0.2934242657
293	0.2931744423
294	0.293083823
295	0.2930132406
296	0.2928673489
297	0.2926819832
298	0.2925805647
299	0.2923830468
300	0.2923019666
301	0.2921787192
302	0.2921243343
303	0.2919128875
304	0.2916612453
305	0.2914310649
306	0.2912551234
307	0.2911416117
308	0.2910238435
309	0.2907962681
310	0.2907129963
311	0.2905868797
312	0.290516208
313	0.2903697601
314	0.290230732
315	0.2900496221
316	0.289825923
317	0.2897087752
318	0.2895382597
319	0.2894065186
320	0.2891844656
321	0.2891138983
322	0.2889147762
323	0.2886298613
324	0.288535514
325	0.288448942
326	0.2882916733
327	0.2881991098
328	0.2880675826
329	0.2879168651
330	0.2877183453
331	0.2875363979
332	0.2874130753
333	0.2872476686
334	0.2871772886
335	0.2870052809
336	0.2868210142
337	0.2866284587
338	0.2864506495
339	0.2862591235
340	0.2861033068
341	0.2859055069
342	0.2856941375
343	0.2855188627
344	0.2853000681
345	0.2851272282
346	0.2850315935
347	0.2849423149
348	0.2848899635
349	0.2847793563
350	0.2845808467
351	0.2844880474
352	0.2843281918
353	0.2840856862
354	0.2839209007
355	0.2837426386
356	0.2835171812
357	0.283405919
358	0.2832078883
359	0.2831208525
360	0.2829489409
361	0.2828057874
362	0.2826588929
363	0.2824351398
364	0.2822275993
365	0.2820450642
366	0.2819499895
367	0.2817696471
368	0.2816599535
369	0.2813711046
370	0.2812134985
371	0.2810754918
372	0.2808851719
373	0.2807611073
374	0.2805755247
375	0.2805525597
376	0.2803678655
377	0.2802671517
378	0.2800673705
379	0.2799585849
380	0.2797319652
381	0.2795473335
382	0.2793683026
383	0.2792508725
384	0.2790433492
385	0.2788394483
386	0.2786689525
387	0.2785293749
388	0.2784488541
389	0.2782625661
390	0.2781137726
391	0.2779170902
392	0.2778088033
393	0.2777287883
394	0.2777028536
395	0.2775452154
396	0.2774007163
397	0.2772935283
398	0.2771775664
399	0.2770791263
400	0.2769618823
401	0.2768058175
402	0.2767417144
403	0.2766102599
404	0.2764538504
405	0.2762736028
406	0.2761842839
407	0.2760576124
408	0.2759706272
409	0.2757941584
410	0.2757674052
411	0.2756865164
412	0.2755794627
413	0.2754605062
414	0.2753376357
415	0.2752415675
416	0.2750934663
417	0.2750032736
418	0.2748982428
419	0.2747734535
420	0.2745676722
421	0.2743840803
422	0.2742500254
423	0.2740318122
424	0.2738943106
425	0.2736843985
426	0.2736016614
427	0.2734973815
428	0.2733183634
429	0.2732290602
430	0.2730868218
431	0.2729206095
432	0.2727705349
433	0.2725720267
434	0.2724509424
435	0.2723223878
436	0.2722023369
437	0.2721149961
438	0.2719492231
439	0.2717764289
440	0.271603293
441	0.2715060112
442	0.2713803528
443	0.271283027
444	0.2712251585
445	0.2710523204
446	0.2709042711
447	0.2707638846
448	0.2706793666
449	0.2705180633
450	0.2703274455
451	0.270256497
452	0.2701553007
453	0.2700322912
454	0.269894222
455	0.2697230285
456	0.26966963
457	0.2695487939
458	0.26942834
459	0.2693090249
460	0.2692324511
461	0.2691341778
462	0.2690173498
463	0.2688848108
464	0.2687939303
465	0.2687033835
466	0.2684984288
467	0.2684077342
468	0.2682772039
469	0.2680340978
470	0.2678582975
471	0.2677225954
472	0.2675493003
473	0.2674050947
474	0.2672100996
475	0.2670967148
476	0.2669939268
477	0.2668518456
478	0.2666732112
479	0.2665986991
480	0.2664393724
481	0.2663123622
482	0.2661381975
483	0.2660228554
484	0.2660064258
485	0.2659636734
486	0.2658702272
487	0.2657095936
488	0.2656125658
489	0.2654411257
490	0.265296167
491	0.2651335955
492	0.2649593957
493	0.2648296285
494	0.2647037613
495	0.2645890474
496	0.2644476125
497	0.264311875
498	0.2641050324
499	0.2640226316
